NO,short,full,press,link,domain,kind,rank
3,PMC,Pervasive and Mobile Computing,Elsevier,http://dblp.org/db/journals/percom/,人机交互与普适计算,期刊,C
4,PACMHCI,Proceedings of the ACM on Human-Computer Interaction,ACM,https://dblp.org/db/journals/pacmhci/index.html,人机交互与普适计算,期刊,C
1,CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,ACM,http://dblp.org/db/conf/cscw,人机交互与普适计算,会议,A
2,CHI,ACM Conference on Human Factors in Computing Systems,ACM,http://dblp.org/db/conf/chi,人机交互与普适计算,会议,A
3,UbiComp,ACM International Conference on Ubiquitous Computing,ACM,http://dblp.org/db/conf/huc/,人机交互与普适计算,会议,A
4,UIST,ACM Symposium on User Interface Software and Technology,ACM,http://dblp.org/db/conf/uist/,人机交互与普适计算,会议,A
1,GROUP,ACM Conference on Supporting Group Work,ACM,http://dblp.org/db/conf/group/,人机交互与普适计算,会议,B
2,IUI,ACM International Conference on Intelligent User Interfaces,ACM,http://dblp.org/db/conf/iui/,人机交互与普适计算,会议,B
3,ITS,ACM International Conference on Interactive Tabletops and Surfaces,ACM,http://dblp.org/db/conf/tabletop/,人机交互与普适计算,会议,B
4,ECSCW,European Conference on Computer Supported Cooperative Work,Springer,http://dblp.org/db/conf/ecscw/,人机交互与普适计算,会议,B
5,PERCOM,IEEE International Conference on Pervasive Computing and Communications,IEEE,http://dblp.org/db/conf/percom/,人机交互与普适计算,会议,B
6,MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,ACM,http://dblp.org/db/conf/mhci/,人机交互与普适计算,会议,B
7,ICWSM,The International AAAI Conference on Web and Social Media,AAAI,https://dblp.org/db/conf/icwsm/index.html,人机交互与普适计算,会议,B
1,DIS,ACM Conference on Designing Interactive Systems,ACM,http://dblp.org/db/conf/ACMdis,人机交互与普适计算,会议,C
2,ICMI,ACM International Conference on Multimodal Interaction,ACM,http://dblp.org/db/conf/icmi/,人机交互与普适计算,会议,C
3,ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,ACM,http://dblp.org/db/conf/assets,人机交互与普适计算,会议,C
4,GI,Graphics Interface conference,ACM,http://dblp.org/db/conf/graphicsinterface/,人机交互与普适计算,会议,C
5,UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,IEEE,http://dblp.org/db/conf/uic/,人机交互与普适计算,会议,C
6,,IEEE World Haptics Conference,IEEE,http://dblp.org/db/conf/haptics/,人机交互与普适计算,会议,C
7,INTERACT,IFIP TC13 Conference on Human-Computer Interaction,IFIP,http://dblp.org/db/conf/interact/,人机交互与普适计算,会议,C
8,IDC,Interaction Design and Children,ACM,http://dblp.org/db/conf/acmidc/,人机交互与普适计算,会议,C
9,CollaborateCom,"International Conference on Collaborative Computing: Networking, Applications and Worksharing",Springer,http://collaboratecom.org,人机交互与普适计算,会议,C
10,CSCWD,International Conference on Computer Supported Cooperative Work in Design,Springer,http://dblp.org/db/conf/cscwd/,人机交互与普适计算,会议,C
11,CoopIS,International Conference on Cooperative Information Systems,Springer,http://dblp.org/db/conf/coopis/,人机交互与普适计算,会议,C
12,MobiQuitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",Springer,http://dblp.org/db/conf/mobiquitous/,人机交互与普适计算,会议,C
13,AVI,International Working Conference on Advanced Visual Interfaces,ACM,http://dblp.org/db/conf/avi/,人机交互与普适计算,会议,C
1,JACM,Journal of the ACM,ACM,http://dblp.org/db/journals/jacm/,交叉/综合/新兴,期刊,A
2,Proc. IEEE,Proceedings of the IEEE,IEEE,http://dblp.org/db/journals/pieee/,交叉/综合/新兴,期刊,A
3,SCIS,Science China Information Sciences,Science in China Press/Springer,http://dblp.org/db/journals/chinaf/,交叉/综合/新兴,期刊,A
1,,Bioinformatics,Oxford University Press,http://dblp.org/db/journals/bioinformatics/,交叉/综合/新兴,期刊,B
2,,Briefings in Bioinformatics,Oxford University Press,http://dblp.org/db/journals/bib/,交叉/综合/新兴,期刊,B
3,Cognition,Cognition：International Journal of Cognitive Science,Elsevier,http://www.journals.elsevier.com/cognition/,交叉/综合/新兴,期刊,B
4,TASAE,IEEE Transactions on Automation Science and Engineering,IEEE,http://dblp.org/db/journals/tase/,交叉/综合/新兴,期刊,B
5,TGARS,IEEE Transactions on Geoscience and Remote Sensing,IEEE,http://dblp.org/db/journals/tgrs/,交叉/综合/新兴,期刊,B
6,TITS,IEEE Transactions on Intelligent Transportation Systems,IEEE,http://dblp.org/db/journals/tits/,交叉/综合/新兴,期刊,B
7,TMI,IEEE Transactions on Medical Imaging,IEEE,http://dblp.org/db/journals/tmi/,交叉/综合/新兴,期刊,B
8,TR,IEEE Transactions on Robotics,IEEE,http://dblp.org/db/journals/trob/,交叉/综合/新兴,期刊,B
9,TCBB,IEEE-ACM Transactions on Computational Biology and Bioinformatics,IEEE/ACM,http://dblp.org/db/journals/tcbb/,交叉/综合/新兴,期刊,B
10,JCST,Journal of Computer Science and Technology,SCIENCE PRESS/Springer,http://dblp.org/db/journals/jcst/,交叉/综合/新兴,期刊,B
11,JAMIA,Journal of the American Medical Informatics Association,BMJ Journals,http://dblp.org/db/journals/jamia/,交叉/综合/新兴,期刊,B
12,,PLOS Computational Biology,Public Library of Science,http://dblp.org/db/journals/ploscb/,交叉/综合/新兴,期刊,B
13,,The Computer Journal,Oxford University Press,http://dblp.org/db/journals/cj/,交叉/综合/新兴,期刊,B
14,,World Wide Web Journal,Springer,https://www.springer.com/journal/11280,交叉/综合/新兴,期刊,B
15,FCS,Frontiers of Computer Science,Higher Education Press,http://dblp.org/db/journals/fcsc/,交叉/综合/新兴,期刊,B
1,,BMC Bioinformatics,BioMed Central,http://dblp.org/db/journals/bmcbi/,交叉/综合/新兴,期刊,C
2,,Cybernetics and Systems,Taylor & Francis,http://dblp.org/db/journals/cas/,交叉/综合/新兴,期刊,C
3,,IEEE Geoscience and Remote Sensing Letters,IEEE,http://dblp.org/db/journals/lgrs/,交叉/综合/新兴,期刊,C
4,JBHI,IEEE Journal of Biomedical and Health Informatics,IEEE,http://dblp.org/db/journals/titb/,交叉/综合/新兴,期刊,C
5,TBD,IEEE Transactions on Big Data,IEEE,https://dblp.org/db/journals/tbd/,交叉/综合/新兴,期刊,C
6,,IET Intelligent Transport Systems,IET,http://digital-library.theiet.org/content/journals/iet-its,交叉/综合/新兴,期刊,C
7,JBI,Journal of Biomedical Informatics,Elsevier,https://dblp.org/db/journals/jbi/,交叉/综合/新兴,期刊,C
8,,Medical Image Analysis,Elsevier,http://dblp.org/db/journals/mia/,交叉/综合/新兴,期刊,C
9,TII,IEEE Transactions on Industrial Informatics,IEEE,https://dblp.org/db/journals/tii/index.html,交叉/综合/新兴,期刊,C
10,TCPS,ACM Transactions on Cyber-Physical Systems,ACM,https://dblp.org/db/journals/tcps/index.html,交叉/综合/新兴,期刊,C
11,TOCE,ACM Transactions on Computing Education,ACM,https://dblp.org/db/journals/jeric/index.html,交叉/综合/新兴,期刊,C
12,FITEE,Frontiers of Information Technology & Electronic Engineering,Springer,https://dblp.org/db/journals/jzusc/index.html,交叉/综合/新兴,期刊,C
13,TCSS,IEEE Transaction on Computational Social Systems,IEEE,https://dblp.org/db/journals/tcss/index.html,交叉/综合/新兴,期刊,C
14,,IEEE Transactions on Reliability,IEEE,https://dblp.org/db/journals/tr/index.html,交叉/综合/新兴,期刊,C
1,WWW,International World Wide Web Conferences,ACM,http://dblp.org/db/conf/www/,交叉/综合/新兴,会议,A
2,RTSS,Real-Time Systems Symposium,IEEE,http://dblp.org/db/conf/rtss/,交叉/综合/新兴,会议,A
3,WINE,Conference on Web and Internet Economics,Springer,https://dblp.org/db/conf/wine/index.html,交叉/综合/新兴,会议,A
1,CogSci,Cognitive Science Society Annual Conference,Psychology Press,https://dblp.org/db/conf/cogsci/,交叉/综合/新兴,会议,B
2,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,IEEE,http://dblp.org/db/conf/bibm/,交叉/综合/新兴,会议,B
3,EMSOFT,International Conference on Embedded Software,ACM/IEEE/IFIP,http://dblp.org/db/conf/emsoft/,交叉/综合/新兴,会议,B
4,ISMB,International conference on Intelligent Systems for Molecular Biology,Oxford Journals,http://www.iscb.org/about-ismb,交叉/综合/新兴,会议,B
5,RECOMB,International Conference on Research in Computational Molecular Biology,Springer,http://dblp.org/db/conf/recomb/,交叉/综合/新兴,会议,B
6,MICCAI,International Conference on Medical Image Computing and Computer-Assisted Intervention,Springer,https://dblp.org/db/conf/miccai/index.html,交叉/综合/新兴,会议,B
1,AMIA,American Medical Informatics Association Annual Symposium,AMIA,http://dblp.org/db/conf/amia/,交叉/综合/新兴,会议,C
2,APBC,Asia Pacific Bioinformatics Conference,BioMed Central,http://dblp.org/db/conf/apbc/,交叉/综合/新兴,会议,C
3,,IEEE International Conference on Big Data,IEEE,https://dblp.org/db/conf/bigdataconf/,交叉/综合/新兴,会议,C
4,,IEEE International Conference on Cloud Computing,IEEE,http://dblp.org/db/conf/IEEEcloud/,交叉/综合/新兴,会议,C
5,SMC,"IEEE International Conference on Systems, Man, and Cybernetics",IEEE,https://dblp.org/db/conf/smc/,交叉/综合/新兴,会议,C
6,COSIT,International Conference on Spatial Information Theory,ACM,http://dblp.org/db/conf/cosit/,交叉/综合/新兴,会议,C
7,ISBRA,International Symposium on Bioinformatics Research and Applications,Springer,https://dblp.org/db/conf/isbra/,交叉/综合/新兴,会议,C
8,SAGT,International Symposium on Algorithmic Game Theory,Springer,https://dblp.org/db/conf/sagt/index.html,交叉/综合/新兴,会议,C
9,SIGSPATIAL,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,ACM,https://dblp.org/db/journals/sigspatial/index.html,交叉/综合/新兴,会议,C
10,ICIC,International Conference on Intelligent Computing,Springer-Nature,https://dblp.org/db/conf/icic/index.html,交叉/综合/新兴,会议,C
